occurences,sentiment,ticker,company,date,positive,negative,neutral,pos_pct_chg
17, 11   6   0 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-01-29 14:35:39,11,6,0,0.0
42, 34   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 13:57:26,34,7,1,2.090909090909091
42, 34   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 13:59:04,34,7,1,0.0
42, 34   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 13:59:25,34,7,1,0.0
42, 34   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 14:14:26,34,7,1,0.0
41, 33   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 14:29:27,33,7,1,-0.0294117647058823
38, 30   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 14:44:28,30,7,1,-0.0909090909090909
35, 27   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 14:59:29,27,7,1,-0.0999999999999999
36, 27   8   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 15:14:30,27,8,1,0.0
38, 28   9   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 15:29:30,28,9,1,0.0370370370370369
40, 31   8   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 15:44:31,31,8,1,0.1071428571428572
38, 30   7   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 15:59:32,30,7,1,-0.032258064516129
35, 28   6   1 ,AMD,"Advanced Micro Devices, Inc.Technology",2021-02-01 16:14:33,28,6,1,-0.0666666666666666
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 13:35:26,1,0,2,
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 13:35:35,1,0,2,0.0
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 13:50:36,1,0,2,0.0
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 14:05:37,1,0,2,0.0
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 14:20:38,1,0,2,0.0
3, 1   0   2 ,AME,"AMTEK, Inc.Capital Goods",2021-01-29 14:35:39,1,0,2,0.0
4, 0   3   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-27 15:51:25,0,3,1,
7, 3   3   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 06:47:30,3,3,1,inf
7, 3   3   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 07:47:42,3,3,1,0.0
3, 1   1   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 09:49:16,1,1,1,-0.6666666666666667
3, 2   0   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 13:18:42,2,0,1,1.0
3, 2   0   1 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 14:45:46,2,0,1,0.0
4, 2   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 18:46:07,2,2,0,0.0
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-28 18:57:36,1,2,0,-0.5
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 13:35:26,1,2,0,0.0
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 13:35:35,1,2,0,0.0
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 13:50:36,1,2,0,0.0
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 14:05:37,1,2,0,0.0
3, 1   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 14:20:38,1,2,0,0.0
4, 2   2   0 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-01-29 14:35:39,2,2,0,1.0
17, 13   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 13:57:26,13,2,2,5.5
17, 13   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 13:59:04,13,2,2,0.0
17, 13   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 13:59:25,13,2,2,0.0
17, 13   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 14:14:26,13,2,2,0.0
17, 13   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 14:29:27,13,2,2,0.0
18, 14   2   2 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 14:44:28,14,2,2,0.0769230769230768
21, 15   2   4 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 14:59:29,15,2,4,0.0714285714285714
21, 15   2   4 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 15:14:30,15,2,4,0.0
21, 15   2   4 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 15:29:30,15,2,4,0.0
20, 13   2   5 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 15:44:31,13,2,5,-0.1333333333333333
18, 12   1   5 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 15:59:32,12,1,5,-0.0769230769230768
18, 12   1   5 ,AMZN,"Amazon.com, Inc.Consumer Services",2021-02-01 16:14:33,12,1,5,0.0
11, 6   1   4 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-27 15:51:25,6,1,4,
6, 5   1   0 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-27 20:21:14,5,1,0,-0.1666666666666666
13, 9   3   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 06:47:30,9,3,1,0.8
12, 9   2   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 07:47:42,9,2,1,0.0
10, 7   1   2 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 09:49:16,7,1,2,-0.2222222222222222
9, 7   0   2 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 11:21:44,7,0,2,0.0
16, 9   1   6 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 13:18:42,9,1,6,0.2857142857142858
19, 10   1   8 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 14:45:46,10,1,8,0.1111111111111111
21, 12   2   7 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 18:46:07,12,2,7,0.1999999999999999
19, 11   1   7 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-28 18:57:36,11,1,7,-0.0833333333333333
38, 29   6   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 07:18:01,29,6,3,1.6363636363636362
21, 10   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 13:35:26,10,6,5,-0.6551724137931034
21, 10   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 13:35:35,10,6,5,0.0
21, 10   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 13:50:36,10,6,5,0.0
21, 10   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 14:05:37,10,6,5,0.0
20, 9   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 14:20:38,9,6,5,-0.0999999999999999
19, 8   6   5 ,AN,"AutoNation, Inc.Consumer Durables",2021-01-29 14:35:39,8,6,5,-0.1111111111111111
10, 5   2   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 13:57:26,5,2,3,-0.375
10, 5   2   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 13:59:04,5,2,3,0.0
10, 5   2   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 13:59:25,5,2,3,0.0
9, 4   2   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 14:14:26,4,2,3,-0.1999999999999999
9, 4   2   3 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 14:29:27,4,2,3,0.0
9, 4   3   2 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 14:44:28,4,3,2,0.0
9, 4   3   2 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 14:59:29,4,3,2,0.0
9, 4   3   2 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 15:14:30,4,3,2,0.0
8, 4   3   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 15:29:30,4,3,1,0.0
9, 5   3   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 15:44:31,5,3,1,0.25
8, 4   3   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 15:59:32,4,3,1,-0.1999999999999999
7, 4   2   1 ,AN,"AutoNation, Inc.Consumer Durables",2021-02-01 16:14:33,4,2,1,0.0
56, 2   33   21 ,ANY,Sphere 3D Corp.Technology,2021-01-27 15:51:25,2,33,21,
6, 3   3   0 ,ANY,Sphere 3D Corp.Technology,2021-01-27 20:21:14,3,3,0,0.5
6, 2   2   2 ,APHA,Aphria Inc.Consumer Durables,2021-01-27 20:21:14,2,2,2,
3, 3   0   0 ,APHA,Aphria Inc.Consumer Durables,2021-01-28 06:47:30,3,0,0,0.5
4, 3   0   1 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 13:57:26,3,0,1,0.0
4, 3   0   1 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 13:59:04,3,0,1,0.0
4, 3   0   1 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 13:59:25,3,0,1,0.0
4, 3   0   1 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 14:14:26,3,0,1,0.0
5, 3   0   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 14:29:27,3,0,2,0.0
5, 3   0   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 14:44:28,3,0,2,0.0
5, 3   0   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 14:59:29,3,0,2,0.0
5, 3   0   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 15:14:30,3,0,2,0.0
5, 3   0   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 15:29:30,3,0,2,0.0
7, 4   1   2 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 15:44:31,4,1,2,0.3333333333333332
9, 5   1   3 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 15:59:32,5,1,3,0.25
9, 5   1   3 ,APHA,Aphria Inc.Consumer Durables,2021-02-01 16:14:33,5,1,3,0.0
4, 3   1   0 ,APPS,"Digital Turbine, Inc.Miscellaneous",2021-01-28 07:47:42,3,1,0,
5, 4   1   0 ,APPS,"Digital Turbine, Inc.Miscellaneous",2021-01-28 09:49:16,4,1,0,0.3333333333333332
5, 3   1   1 ,APPS,"Digital Turbine, Inc.Miscellaneous",2021-01-28 11:21:44,3,1,1,-0.25
3, 2   0   1 ,APPS,"Digital Turbine, Inc.Miscellaneous",2021-01-28 13:18:42,2,0,1,-0.3333333333333333
4, 2   1   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-27 15:51:25,2,1,1,
6, 4   1   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-27 20:21:14,4,1,1,1.0
3, 2   0   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-28 06:47:30,2,0,1,-0.5
4, 3   0   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-28 07:47:42,3,0,1,0.5
4, 3   0   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-28 09:49:16,3,0,1,0.0
3, 2   0   1 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-01-28 11:21:44,2,0,1,-0.3333333333333333
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 13:57:26,1,2,0,-0.5
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 13:59:04,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 13:59:25,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 14:14:26,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 14:29:27,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 14:44:28,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 14:59:29,1,2,0,0.0
3, 1   2   0 ,ATOS,"Atossa Therapeutics, Inc.Health Care",2021-02-01 15:14:30,1,2,0,0.0
3, 2   1   0 ,AYRO,"AYRO, Inc.Consumer Services",2021-01-28 06:47:30,2,1,0,
3, 2   1   0 ,AYRO,"AYRO, Inc.Consumer Services",2021-01-28 07:47:42,2,1,0,0.0
3, 2   1   0 ,AYRO,"AYRO, Inc.Consumer Services",2021-01-28 09:49:16,2,1,0,0.0
3, 2   1   0 ,BA,Boeing Company (The)Capital Goods,2021-01-27 20:21:14,2,1,0,
18, 10   3   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 13:57:26,10,3,5,
18, 10   3   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 13:59:04,10,3,5,0.0
18, 10   3   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 13:59:25,10,3,5,0.0
19, 10   4   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 14:14:26,10,4,5,0.0
19, 10   4   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 14:29:27,10,4,5,0.0
17, 9   4   4 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 14:44:28,9,4,4,-0.0999999999999999
19, 11   4   4 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 14:59:29,11,4,4,0.2222222222222223
16, 8   4   4 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 15:14:30,8,4,4,-0.2727272727272727
19, 10   4   5 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 15:29:30,10,4,5,0.25
18, 10   4   4 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 15:44:31,10,4,4,0.0
16, 9   4   3 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 15:59:32,9,4,3,-0.0999999999999999
16, 8   4   4 ,BABA,Alibaba Group Holding LimitedMiscellaneous,2021-02-01 16:14:33,8,4,4,-0.1111111111111111
1580, 1056   156   368 ,BB,BlackBerry LimitedTechnology,2021-01-27 15:51:25,1056,156,368,
790, 446   103   241 ,BB,BlackBerry LimitedTechnology,2021-01-27 20:21:14,446,103,241,-0.5776515151515151
1067, 621   146   300 ,BB,BlackBerry LimitedTechnology,2021-01-28 06:47:30,621,146,300,0.3923766816143497
972, 573   133   266 ,BB,BlackBerry LimitedTechnology,2021-01-28 07:47:42,573,133,266,-0.0772946859903381
630, 360   97   173 ,BB,BlackBerry LimitedTechnology,2021-01-28 09:49:16,360,97,173,-0.3717277486910995
409, 218   68   123 ,BB,BlackBerry LimitedTechnology,2021-01-28 11:21:44,218,68,123,-0.3944444444444445
355, 194   61   100 ,BB,BlackBerry LimitedTechnology,2021-01-28 13:18:42,194,61,100,-0.110091743119266
363, 198   68   97 ,BB,BlackBerry LimitedTechnology,2021-01-28 14:45:46,198,68,97,0.0206185567010308
352, 182   68   102 ,BB,BlackBerry LimitedTechnology,2021-01-28 18:46:07,182,68,102,-0.0808080808080807
343, 178   68   97 ,BB,BlackBerry LimitedTechnology,2021-01-28 18:57:36,178,68,97,-0.021978021978022
708, 437   90   181 ,BB,BlackBerry LimitedTechnology,2021-01-29 07:18:01,437,90,181,1.4550561797752808
1001, 608   157   236 ,BB,BlackBerry LimitedTechnology,2021-01-29 13:35:26,608,157,236,0.3913043478260869
1001, 608   157   236 ,BB,BlackBerry LimitedTechnology,2021-01-29 13:35:35,608,157,236,0.0
974, 587   157   230 ,BB,BlackBerry LimitedTechnology,2021-01-29 13:50:36,587,157,230,-0.0345394736842105
952, 569   155   228 ,BB,BlackBerry LimitedTechnology,2021-01-29 14:05:37,569,155,228,-0.0306643952299829
922, 550   147   225 ,BB,BlackBerry LimitedTechnology,2021-01-29 14:20:38,550,147,225,-0.0333919156414762
908, 536   149   223 ,BB,BlackBerry LimitedTechnology,2021-01-29 14:35:39,536,149,223,-0.0254545454545455
483, 288   64   131 ,BB,BlackBerry LimitedTechnology,2021-02-01 13:57:26,288,64,131,-0.4626865671641791
484, 289   64   131 ,BB,BlackBerry LimitedTechnology,2021-02-01 13:59:04,289,64,131,0.0034722222222223
484, 289   64   131 ,BB,BlackBerry LimitedTechnology,2021-02-01 13:59:25,289,64,131,0.0
457, 272   65   120 ,BB,BlackBerry LimitedTechnology,2021-02-01 14:14:26,272,65,120,-0.0588235294117647
380, 225   59   96 ,BB,BlackBerry LimitedTechnology,2021-02-01 14:29:27,225,59,96,-0.1727941176470588
348, 207   54   87 ,BB,BlackBerry LimitedTechnology,2021-02-01 14:44:28,207,54,87,-0.0799999999999999
329, 194   54   81 ,BB,BlackBerry LimitedTechnology,2021-02-01 14:59:29,194,54,81,-0.0628019323671497
317, 189   51   77 ,BB,BlackBerry LimitedTechnology,2021-02-01 15:14:30,189,51,77,-0.0257731958762886
317, 190   51   76 ,BB,BlackBerry LimitedTechnology,2021-02-01 15:29:30,190,51,76,0.0052910052910053
305, 177   48   80 ,BB,BlackBerry LimitedTechnology,2021-02-01 15:44:31,177,48,80,-0.0684210526315789
288, 165   45   78 ,BB,BlackBerry LimitedTechnology,2021-02-01 15:59:32,165,45,78,-0.0677966101694915
285, 162   44   79 ,BB,BlackBerry LimitedTechnology,2021-02-01 16:14:33,162,44,79,-0.0181818181818181
63, 36   15   12 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-27 15:51:25,36,15,12,
44, 17   12   15 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-27 20:21:14,17,12,15,-0.5277777777777778
51, 28   12   11 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 06:47:30,28,12,11,0.6470588235294117
56, 29   14   13 ,BBBY,Bed Bath & Beyond Inc.Consumer Services,2021-01-28 07:47:42,29,14,13,0.0357142857142858
